title,company,location,description,link,want to get,ranking
28433 - Next Delivery Vehicle Environment and Sustainability Advisor - NEAS Team 2100,Environment Agency,Reading,"Are you passionate about protecting people and wildlife of London from tidal flood risk?Do you want to be involved in world leading adaptive flood risk management programme?Do you enjoy advocating for positive environmental and sustainability outcomes?Does managing varied portfolio of environmental projects excite you?This is an influential and exciting Environment and Sustainability Advisor position at the heart of the Next Delivery Vehicle, developing the approach to environmental compliance and sustainable conformance for the next period of flood risk management in the Thames Estuary. As a key part of a collaborative team this position directly supports implementing the Environment Agency’s Thames Estuary 2100 Plan. The trailblazing adaptive management plan sets out how we will manage tidal flood risk in London and the Thames Estuary throughout the 21st century.• We enable the Environment Agency to be a leader in the provision of sustainable infrastructure.• We support the adoption of innovative approaches to achieve sustainable outcomes.• We ensure environmental compliance and sustainability conformance.• We identify and deliver environmental enhancements to create a better place.You will work collaboratively to deliver ground-breaking and award-winning work, leaving a legacy for the future. This will be achieved in collaboration with a network of stakeholders. These include internal departments, statutory bodies, delivery partners, businesses, and communities.Your approach and positivity will motivate and inspire the team to achieve successful multi-benefit schemes which enhance the environments and communities we work withinResponding to incidents is a central part of what we do. You will be required to have an incident role and make yourself available to respond to incidents or provide business continuity support during an incident. This may attract an additional payment and full training and alternative working arrangements will be available to support you with your incident role.The teamYou will be member of the National Environmental Assessment and Sustainability (NEAS) team, which is helping develop the Next Delivery Vehicle. Our inclusive team puts sustainability at the heart of decision-making across this Flood Risk Management programme. We oversee the effective management of environmental compliance and sustainability conformance across the Next Delivery Vehicle Project.We are comprised of Environmental Project Managers, Sustainability specialists, Landscape and Heritage specialists as well as support and leadership colleaguesExperience/skills requiredYou will have (essential):• Great communication skills and the ability to develop and maintain effective relationships with internal and external customers and partners.• Experience in collaborating with others to deliver environment and sustainability benefits and manage environmental risk and be able to communicate this effectively.• A good understanding of different technical areas of expertise, such as sustainability, habitats regulations, environmental net gain, natural capital, circular economy, social value, planning or environmental design.• Programme and/or project management skills.• Experience in mentoring and supporting colleagues with varying degrees of experience.Desirable:• Writing or reviewing environmental reports would be an advantage.• Membership of relevant professional environmental institute.• Knowledge of flood and coastal risk management and/or asset management.",https://findajob.dwp.gov.uk/details/13805630,,
28472 - Principal Environment and Sustainability Advisor - NEAS Team 2100,Environment Agency,"London, UK","Are you passionate about protecting the people and wildlife of London from tidal flood risk?Do you want to be involved in a world leading adaptive flood risk management programme?Do you enjoy advocating for positive environmental and sustainability outcomes?Does managing a varied portfolio of environmental projects excite you?This is an influential and exciting Principal Environment and Sustainability Advisor position at the heart of TEAM2100, delivering the Thames Estuary Plan’s first ten years of flood risk asset management. You will deliver environmental compliance and sustainability conformance across the TEAM2100 programme. TEAM2100 is an EA pathfinder programme and a contributor to i3P, the Infrastructure Industry Innovation Partnership. As a key part of a collaborative team this position directly supports implementing the Environment Agency’s Thames Estuary 2100 Plan.• We enable the Environment Agency to be a leader in the provision of sustainable infrastructure.• We support the adoption of innovative approaches to achieve sustainable outcomes.• We ensure environmental compliance and sustainability conformance.• We identify and deliver environmental enhancements to create a better place.You will work collaboratively to deliver infrastructure projects protecting people and communities and leaving a legacy for the future. This will be achieved in collaboration with a network of stakeholders. These include internal departments, statutory bodies, delivery partners, businesses, and communities.Your approach and positivity will motivate and inspire the team to achieve successful multi-benefit schemes which enhance the environments and communities we work withinResponding to incidents is a central part of what we do. You will be required to have an incident role and make yourself available to respond to incidents or provide business continuity support during an incident. This may attract an additional payment and full training and alternative working arrangements will be available to support you with your incident role.The teamYou will be member of the National Environmental Assessment and Sustainability (NEAS) team, which is helping deliver TEAM2100. Our inclusive team puts sustainability at the heart of decision-making across this Flood Risk Management programme. We oversee the effective management of environmental compliance and sustainability conformance across the Thames-side infrastructure.We are comprised of Environmental Project Managers, Sustainability specialists, Landscape and Heritage specialists as well as support and leadership colleagues.Experience/skills requiredYou will have (essential):• Proven communication skills and the ability to develop and maintain effective relationships with internal and external customers and partners.• Significant experience in collaborating with others to deliver environment and sustainability benefits and manage environmental risk and be able to communicate this effectively.• A strong and deep understanding of different technical areas of expertise, such as sustainability, habitats regulations, environmental net gain, natural capital, circular economy, social value, planning or environmental design.• Programme and/or project management skills.• Experience in mentoring and supporting colleagues with varying degrees of experience.Desirable:• Developing, and delivering, sustainable outcomes in the infrastructure sector.• Membership of relevant professional environmental institute.• Knowledge of flood and coastal risk management and asset management.",https://findajob.dwp.gov.uk/details/13806597,,
28472 - Principal Environment and Sustainability Advisor - NEAS Team 2100,Environment Agency,Norwich,"Are you passionate about protecting the people and wildlife of London from tidal flood risk?Do you want to be involved in a world leading adaptive flood risk management programme?Do you enjoy advocating for positive environmental and sustainability outcomes?Does managing a varied portfolio of environmental projects excite you?This is an influential and exciting Principal Environment and Sustainability Advisor position at the heart of TEAM2100, delivering the Thames Estuary Plan’s first ten years of flood risk asset management. You will deliver environmental compliance and sustainability conformance across the TEAM2100 programme. TEAM2100 is an EA pathfinder programme and a contributor to i3P, the Infrastructure Industry Innovation Partnership. As a key part of a collaborative team this position directly supports implementing the Environment Agency’s Thames Estuary 2100 Plan.• We enable the Environment Agency to be a leader in the provision of sustainable infrastructure.• We support the adoption of innovative approaches to achieve sustainable outcomes.• We ensure environmental compliance and sustainability conformance.• We identify and deliver environmental enhancements to create a better place.You will work collaboratively to deliver infrastructure projects protecting people and communities and leaving a legacy for the future. This will be achieved in collaboration with a network of stakeholders. These include internal departments, statutory bodies, delivery partners, businesses, and communities.Your approach and positivity will motivate and inspire the team to achieve successful multi-benefit schemes which enhance the environments and communities we work withinResponding to incidents is a central part of what we do. You will be required to have an incident role and make yourself available to respond to incidents or provide business continuity support during an incident. This may attract an additional payment and full training and alternative working arrangements will be available to support you with your incident role.The teamYou will be member of the National Environmental Assessment and Sustainability (NEAS) team, which is helping deliver TEAM2100. Our inclusive team puts sustainability at the heart of decision-making across this Flood Risk Management programme. We oversee the effective management of environmental compliance and sustainability conformance across the Thames-side infrastructure.We are comprised of Environmental Project Managers, Sustainability specialists, Landscape and Heritage specialists as well as support and leadership colleagues.Experience/skills requiredYou will have (essential):• Proven communication skills and the ability to develop and maintain effective relationships with internal and external customers and partners.• Significant experience in collaborating with others to deliver environment and sustainability benefits and manage environmental risk and be able to communicate this effectively.• A strong and deep understanding of different technical areas of expertise, such as sustainability, habitats regulations, environmental net gain, natural capital, circular economy, social value, planning or environmental design.• Programme and/or project management skills.• Experience in mentoring and supporting colleagues with varying degrees of experience.Desirable:• Developing, and delivering, sustainable outcomes in the infrastructure sector.• Membership of relevant professional environmental institute.• Knowledge of flood and coastal risk management and asset management.",https://findajob.dwp.gov.uk/details/13806620,,
28472 - Principal Environment and Sustainability Advisor - NEAS Team 2100,Environment Agency,Reading,"Are you passionate about protecting the people and wildlife of London from tidal flood risk?Do you want to be involved in a world leading adaptive flood risk management programme?Do you enjoy advocating for positive environmental and sustainability outcomes?Does managing a varied portfolio of environmental projects excite you?This is an influential and exciting Principal Environment and Sustainability Advisor position at the heart of TEAM2100, delivering the Thames Estuary Plan’s first ten years of flood risk asset management. You will deliver environmental compliance and sustainability conformance across the TEAM2100 programme. TEAM2100 is an EA pathfinder programme and a contributor to i3P, the Infrastructure Industry Innovation Partnership. As a key part of a collaborative team this position directly supports implementing the Environment Agency’s Thames Estuary 2100 Plan.• We enable the Environment Agency to be a leader in the provision of sustainable infrastructure.• We support the adoption of innovative approaches to achieve sustainable outcomes.• We ensure environmental compliance and sustainability conformance.• We identify and deliver environmental enhancements to create a better place.You will work collaboratively to deliver infrastructure projects protecting people and communities and leaving a legacy for the future. This will be achieved in collaboration with a network of stakeholders. These include internal departments, statutory bodies, delivery partners, businesses, and communities.Your approach and positivity will motivate and inspire the team to achieve successful multi-benefit schemes which enhance the environments and communities we work withinResponding to incidents is a central part of what we do. You will be required to have an incident role and make yourself available to respond to incidents or provide business continuity support during an incident. This may attract an additional payment and full training and alternative working arrangements will be available to support you with your incident role.The teamYou will be member of the National Environmental Assessment and Sustainability (NEAS) team, which is helping deliver TEAM2100. Our inclusive team puts sustainability at the heart of decision-making across this Flood Risk Management programme. We oversee the effective management of environmental compliance and sustainability conformance across the Thames-side infrastructure.We are comprised of Environmental Project Managers, Sustainability specialists, Landscape and Heritage specialists as well as support and leadership colleagues.Experience/skills requiredYou will have (essential):• Proven communication skills and the ability to develop and maintain effective relationships with internal and external customers and partners.• Significant experience in collaborating with others to deliver environment and sustainability benefits and manage environmental risk and be able to communicate this effectively.• A strong and deep understanding of different technical areas of expertise, such as sustainability, habitats regulations, environmental net gain, natural capital, circular economy, social value, planning or environmental design.• Programme and/or project management skills.• Experience in mentoring and supporting colleagues with varying degrees of experience.Desirable:• Developing, and delivering, sustainable outcomes in the infrastructure sector.• Membership of relevant professional environmental institute.• Knowledge of flood and coastal risk management and asset management.",https://findajob.dwp.gov.uk/details/13806632,,
5723 - Senior Advisor - Sustainable Development,Natural England,"Lincoln, Lincolnshire","The teamThis role is based in Natural England’s East Midlands area team.Job descriptionWe are the Government’s advisor for the natural environment, playing a vital role in delivering the Government’s 25 Year Environment Plan, an ambitious vision which brings new opportunities to protect and enhance, and to achieve real outcomes for the environment.Do you have a passion for nature and the environment? Do you want to make a real difference and secure significant environmental gains in the present and the future? Do you enjoy working in a team? Can you see yourself advising communities and customers to maximise gains for the Natural Environment?If this appeals to you, a career at Natural England offers rewarding opportunities to secure environmental improvements and play your part in creating a better future for people and nature.The priority work Natural England is delivering includes:• Establishing a Nature Recovery Network to help wildlife thrive• Monitoring environmental changes to identify and help reduce the effects of climate change• Working with farmers and landowners to develop greener food production methods• Advising on plans for new developments to maximise gains for nature• Providing ways for people to better connect with nature, including green social prescribingSee more about the work of Natural England at:www.gov.uk/government/organisations/natural-englandBenefitsWherever possible Natural England accommodates requests for both full-time and part-time hours and other flexible working patterns to help employees achieve a good work/life balance and maintain their health and wellbeing.Natural England provides excellent opportunities for career progression, training and development tailored to your role. From induction to ongoing learning and development, everyone in Natural England is supported to develop their skills and capabilities. Everyone has 10 days to devote to personal learning and development, as well as an additional 3 days to volunteer.You will have access to Civil Service Pension and benefits arrangements and generous leave allowances (33 day per year pro rata), as well as flexible working, to help you achieve a work-life balance that works for you and us.You will have access to a range of benefits including discounts on shopping vouchers, cycle to work scheme, and childcare vouchers. You can also join the Civil Service Sport club which offer discounts on a range of sports and leisure opportunities as well as social events.Natural England is a fantastic place to work, where difference is celebrated.We’re committed to fairness and equality for all, so you feel valued for who you are and what you do. Our shared values help us work together to benefit the communities we serve. Our thriving employee-led diversity networks support our inclusive culture and contribute to our Diversity Action Plan.Summary of the RoleThis is an exciting opportunity to make a strong contribution to Natural England’s engagement in planning work, including some of the most important development proposals in the country. The role has a particular focus on providing advice on Nationally Significant Infrastructure Projects, or NSIPs, major planning schemes that present both challenges and significant opportunities for the natural environment. NSIPs cover a wide range of proposals, from renewable energy to water resources, ports, airports and major new road and rail schemes.Working with colleagues in both your team and across the organisation, you will help ensure that the natural environment is fully considered through the planning process, seeking to maximise gains for nature. Our aim is to ensure that all development is truly sustainable, not only protecting what we have but also contributing to nature recovery.Role DescriptionThis post will be based within our East Midlands Area Team. Our Area Teams have an important role in coordinating and delivering place-based sustainable development advice. This includes advising on complex project specific developments, as well as influencing and enabling local authorities and other decision-makers to embed nature into their place-based plans.The role will involve providing senior support and oversight of our complex sustainable development casework, with a particular focus on leading Area Team engagement with NSIP cases. You will both lead on advice and deliver through others, ensuring the focus of effort and resources in the team is directed at agreed priorities. Through the provision of high quality, timely advice, you will play a key role in ensuring Natural England is able to secure strong environmental outcomes.You will be expected to be an active member of key internal networks to fully understand commissions that are being developed nationally, to grow your own knowledge base and share that with colleagues within the team.Working with Team Leaders and Senior Advisers you will have a responsibility to grow the capability and capacity for delivering our sustainable development work within the team by developing others. As a member of the leadership team you will be expected to be a role model for organisational values, and support and encourage the development of staff in the team.",https://findajob.dwp.gov.uk/details/13826403,,
5723 - Senior Advisor - Sustainable Development,Natural England,"Nottingham, Nottinghamshire","The teamThis role is based in Natural England’s East Midlands area team.Job descriptionWe are the Government’s advisor for the natural environment, playing a vital role in delivering the Government’s 25 Year Environment Plan, an ambitious vision which brings new opportunities to protect and enhance, and to achieve real outcomes for the environment.Do you have a passion for nature and the environment? Do you want to make a real difference and secure significant environmental gains in the present and the future? Do you enjoy working in a team? Can you see yourself advising communities and customers to maximise gains for the Natural Environment?If this appeals to you, a career at Natural England offers rewarding opportunities to secure environmental improvements and play your part in creating a better future for people and nature.The priority work Natural England is delivering includes:• Establishing a Nature Recovery Network to help wildlife thrive• Monitoring environmental changes to identify and help reduce the effects of climate change• Working with farmers and landowners to develop greener food production methods• Advising on plans for new developments to maximise gains for nature• Providing ways for people to better connect with nature, including green social prescribingSee more about the work of Natural England at:www.gov.uk/government/organisations/natural-englandBenefitsWherever possible Natural England accommodates requests for both full-time and part-time hours and other flexible working patterns to help employees achieve a good work/life balance and maintain their health and wellbeing.Natural England provides excellent opportunities for career progression, training and development tailored to your role. From induction to ongoing learning and development, everyone in Natural England is supported to develop their skills and capabilities. Everyone has 10 days to devote to personal learning and development, as well as an additional 3 days to volunteer.You will have access to Civil Service Pension and benefits arrangements and generous leave allowances (33 day per year pro rata), as well as flexible working, to help you achieve a work-life balance that works for you and us.You will have access to a range of benefits including discounts on shopping vouchers, cycle to work scheme, and childcare vouchers. You can also join the Civil Service Sport club which offer discounts on a range of sports and leisure opportunities as well as social events.Natural England is a fantastic place to work, where difference is celebrated.We’re committed to fairness and equality for all, so you feel valued for who you are and what you do. Our shared values help us work together to benefit the communities we serve. Our thriving employee-led diversity networks support our inclusive culture and contribute to our Diversity Action Plan.Summary of the RoleThis is an exciting opportunity to make a strong contribution to Natural England’s engagement in planning work, including some of the most important development proposals in the country. The role has a particular focus on providing advice on Nationally Significant Infrastructure Projects, or NSIPs, major planning schemes that present both challenges and significant opportunities for the natural environment. NSIPs cover a wide range of proposals, from renewable energy to water resources, ports, airports and major new road and rail schemes.Working with colleagues in both your team and across the organisation, you will help ensure that the natural environment is fully considered through the planning process, seeking to maximise gains for nature. Our aim is to ensure that all development is truly sustainable, not only protecting what we have but also contributing to nature recovery.Role DescriptionThis post will be based within our East Midlands Area Team. Our Area Teams have an important role in coordinating and delivering place-based sustainable development advice. This includes advising on complex project specific developments, as well as influencing and enabling local authorities and other decision-makers to embed nature into their place-based plans.The role will involve providing senior support and oversight of our complex sustainable development casework, with a particular focus on leading Area Team engagement with NSIP cases. You will both lead on advice and deliver through others, ensuring the focus of effort and resources in the team is directed at agreed priorities. Through the provision of high quality, timely advice, you will play a key role in ensuring Natural England is able to secure strong environmental outcomes.You will be expected to be an active member of key internal networks to fully understand commissions that are being developed nationally, to grow your own knowledge base and share that with colleagues within the team.Working with Team Leaders and Senior Advisers you will have a responsibility to grow the capability and capacity for delivering our sustainable development work within the team by developing others. As a member of the leadership team you will be expected to be a role model for organisational values, and support and encourage the development of staff in the team.",https://findajob.dwp.gov.uk/details/13826424,,
Digital Sustainability Data Specialist,Government Recruitment Service,Warrington,"Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedInDefra JobsDigital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!",https://findajob.dwp.gov.uk/details/13877086,,
Digital Sustainability Data Specialist,Government Recruitment Service,York,"Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedInDefra JobsDigital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!",https://findajob.dwp.gov.uk/details/13877120,,
Digital Sustainability Data Specialist,Government Recruitment Service,Reading,"Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedInDefra JobsDigital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!",https://findajob.dwp.gov.uk/details/13877142,,
Digital Sustainability Data Specialist,Government Recruitment Service,London,"Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedInDefra JobsDigital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!",https://findajob.dwp.gov.uk/details/13877145,,
Digital Sustainability Data Specialist,Government Recruitment Service,Newcastle-upon-Tyne,"Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedInDefra JobsDigital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!",https://findajob.dwp.gov.uk/details/13877158,,
Digital Sustainability Data Specialist,Government Recruitment Service,Bristol,"Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedInDefra JobsDigital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!",https://findajob.dwp.gov.uk/details/13877214,,
